#Positive parity populations listed in first column
NEnergy= 9.55005   Entries 13
NEnergy= 5.4500515   Entries 13
0    0.0265174   0.0212376   
1    0.0967931   0.1325531   
2    0.0765157   0.1606650   
3    0.0740533   0.1330196   
4    0.0188598   0.1154836   
5    0.0138016   0.0695992   
6    0.0045961   0.0448219   
7    0.0029460   0.0042935   
8    0.0008367   0.0026496   
9    0.0004631   0.0001915   
10   0.0000000   0.0001026   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 5.3500515   Entries 13
0    0.0283004   0.0207429   
1    0.1030955   0.1282180   
2    0.0809210   0.1549974   
3    0.0782208   0.1299509   
4    0.0194743   0.1125809   
5    0.0142704   0.0679255   
6    0.0047570   0.0439501   
7    0.0030523   0.0048650   
8    0.0008772   0.0030012   
9    0.0004852   0.0002044   
10   0.0000000   0.0001095   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 5.2500515   Entries 13
0    0.0301369   0.0202360   
1    0.1095715   0.1239333   
2    0.0853956   0.1493973   
3    0.0824361   0.1266854   
4    0.0200416   0.1095236   
5    0.0147058   0.0661525   
6    0.0049041   0.0430532   
7    0.0031501   0.0055179   
8    0.0009161   0.0034026   
9    0.0005064   0.0002175   
10   0.0000000   0.0001165   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 5.1500515   Entries 13
0    0.0320282   0.0197133   
1    0.1162239   0.1196686   
2    0.0899336   0.1438359   
3    0.0866920   0.1232368   
4    0.0205588   0.1063261   
5    0.0151053   0.0642925   
6    0.0050363   0.0421453   
7    0.0032387   0.0062678   
8    0.0009531   0.0038632   
9    0.0005265   0.0002306   
10   0.0000000   0.0001234   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 5.0500515   Entries 13
0    0.0339752   0.0191720   
1    0.1230537   0.1153998   
2    0.0945263   0.1382908   
3    0.0909785   0.1196157   
4    0.0210225   0.1029993   
5    0.0154662   0.0623546   
6    0.0051524   0.0412400   
7    0.0033172   0.0071340   
8    0.0009878   0.0043947   
9    0.0005453   0.0002436   
10   0.0000000   0.0001304   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 4.9500515   Entries 13
0    0.0359780   0.0186099   
1    0.1300595   0.1111077   
2    0.0991614   0.1327439   
3    0.0952822   0.1158301   
4    0.0214288   0.0995514   
5    0.0157855   0.0603451   
6    0.0052511   0.0403513   
7    0.0033849   0.0081409   
8    0.0010200   0.0050118   
9    0.0005627   0.0002565   
10   0.0000000   0.0001373   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 4.8500515   Entries 13
0    0.0380363   0.0180251   
1    0.1372367   0.1067771   
2    0.1038227   0.1271805   
3    0.0995860   0.1118863   
4    0.0217733   0.0959884   
5    0.0160597   0.0582685   
6    0.0053311   0.0394943   
7    0.0034407   0.0093193   
8    0.0010492   0.0057332   
9    0.0005784   0.0002691   
10   0.0000000   0.0001440   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 4.7500515   Entries 13
0    0.0401484   0.0174161   
1    0.1445762   0.1023950   
2    0.1084886   0.1215885   
3    0.1038678   0.1077886   
4    0.0220514   0.0923145   
5    0.0162850   0.0561272   
6    0.0053909   0.0386870   
7    0.0034839   0.0107090   
8    0.0010750   0.0065830   
9    0.0005923   0.0002814   
10   0.0000000   0.0001506   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 4.6500515   Entries 13
0    0.0423110   0.0167815   
1    0.1520626   0.0979507   
2    0.1131309   0.1159572   
3    0.1080991   0.1035400   
4    0.0222574   0.0885323   
5    0.0164570   0.0539223   
6    0.0054290   0.0379510   
7    0.0035133   0.0123616   
8    0.0010971   0.0075923   
9    0.0006041   0.0002930   
10   0.0000000   0.0001568   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 4.5500515   Entries 13
0    0.0445185   0.0161201   
1    0.1596716   0.0934344   
2    0.1177127   0.1102769   
3    0.1122435   0.0991419   
4    0.0223851   0.0846428   
5    0.0165709   0.0516536   
6    0.0054437   0.0373137   
7    0.0035277   0.0143454   
8    0.0011148   0.0088027   
9    0.0006135   0.0003039   
10   0.0000000   0.0001626   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 4.4500515   Entries 13
0    0.0467616   0.0154307   
1    0.1673655   0.0888366   
2    0.1221855   0.1045376   
3    0.1162539   0.0945937   
4    0.0224271   0.0806451   
5    0.0166208   0.0493193   
6    0.0054333   0.0368113   
7    0.0035261   0.0167525   
8    0.0011277   0.0102695   
9    0.0006202   0.0003139   
10   0.0000000   0.0001679   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 4.3500515   Entries 13
0    0.0490260   0.0147117   
1    0.1750875   0.0841472   
2    0.1264849   0.0987286   
3    0.1200683   0.0898920   
4    0.0223748   0.0765359   
5    0.0166001   0.0469158   
6    0.0053958   0.0364927   
7    0.0035071   0.0197086   
8    0.0011351   0.0120690   
9    0.0006239   0.0003226   
10   0.0000000   0.0001726   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 4.25005   Entries 13
0    0.0512889   0.0139614   
1    0.1827512   0.0793539   
2    0.1305238   0.0928361   
3    0.1236043   0.0850301   
4    0.0222174   0.0723086   
5    0.0165004   0.0444372   
6    0.0053288   0.0364254   
7    0.0034689   0.0233897   
8    0.0011363   0.0143075   
9    0.0006242   0.0003297   
10   0.0000000   0.0001764   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 4.1500515   Entries 13
0    0.0535150   0.0131769   
1    0.1902250   0.0744405   
2    0.1341827   0.0868420   
3    0.1267495   0.0799953   
4    0.0219414   0.0679518   
5    0.0163114   0.0418744   
6    0.0052295   0.0367056   
7    0.0034097   0.0280472   
8    0.0011305   0.0171371   
9    0.0006206   0.0003350   
10   0.0000000   0.0001792   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 4.0500515   Entries 13
0    0.0556485   0.0123544   
1    0.1973049   0.0693838   
2    0.1372933   0.0807195   
3    0.1293471   0.0747663   
4    0.0215287   0.0634465   
5    0.0160193   0.0392136   
6    0.0050941   0.0374742   
7    0.0033270   0.0340504   
8    0.0011164   0.0207808   
9    0.0006126   0.0003378   
10   0.0000000   0.0001807   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 3.9500515   Entries 13
0    0.0576000   0.0114875   
1    0.2036692   0.0641489   
2    0.1396111   0.0744287   
3    0.1311703   0.0693083   
4    0.0209547   0.0587622   
5    0.0156055   0.0364331   
6    0.0049178   0.0389436   
7    0.0032173   0.0419563   
8    0.0010927   0.0255754   
9    0.0005993   0.0003376   
10   0.0000000   0.0001806   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 3.8500515   Entries 13
0    0.0592228   0.0105665   
1    0.2087975   0.0586812   
2    0.1407690   0.0679069   
3    0.1318810   0.0635636   
4    0.0201836   0.0538491   
5    0.0150430   0.0334992   
6    0.0046935   0.0414436   
7    0.0030760   0.0526307   
8    0.0010574   0.0320439   
