#Positive parity populations listed in first column
NEnergy= 8.45005   Entries 13
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 4.3500515   Entries 13
0    0.0497970   0.0127533   
1    0.1806842   0.0782257   
2    0.1376010   0.0950662   
3    0.1302891   0.0811273   
4    0.0291843   0.0717464   
5    0.0215018   0.0471821   
6    0.0059593   0.0334713   
7    0.0040067   0.0113983   
8    0.0014886   0.0070205   
9    0.0008212   0.0004406   
10   0.0000000   0.0002352   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 4.2500515   Entries 13
0    0.0534707   0.0119444   
1    0.1931072   0.0726610   
2    0.1441073   0.0878895   
3    0.1359932   0.0753200   
4    0.0289083   0.0663728   
5    0.0213199   0.0435110   
6    0.0058307   0.0317851   
7    0.0039268   0.0129284   
8    0.0014731   0.0079535   
9    0.0008121   0.0004465   
10   0.0000000   0.0002383   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 4.1500515   Entries 13
0    0.0573798   0.0110828   
1    0.2062326   0.0668994   
2    0.1505406   0.0805617   
3    0.1415315   0.0693137   
4    0.0284372   0.0608804   
5    0.0209898   0.0398098   
6    0.0056478   0.0301964   
7    0.0038095   0.0147211   
8    0.0014417   0.0090441   
9    0.0007941   0.0004471   
10   0.0000000   0.0002387   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 4.0500515   Entries 13
0    0.0614717   0.0101938   
1    0.2198285   0.0610666   
2    0.1565833   0.0732246   
3    0.1466300   0.0632692   
4    0.0277614   0.0554101   
5    0.0205058   0.0361810   
6    0.0054199   0.0287898   
7    0.0036612   0.0168322   
8    0.0013970   0.0103259   
9    0.0007689   0.0004429   
10   0.0000000   0.0002364   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 3.9500515   Entries 13
0    0.0658010   0.0092722   
1    0.2340522   0.0551426   
2    0.1621768   0.0658553   
3    0.1512181   0.0571470   
4    0.0268641   0.0499158   
5    0.0198532   0.0325667   
6    0.0051408   0.0275686   
7    0.0034773   0.0193568   
8    0.0013366   0.0118559   
9    0.0007351   0.0004328   
10   0.0000000   0.0002311   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 3.8500515   Entries 13
0    0.0703400   0.0083340   
1    0.2487686   0.0492285   
2    0.1670673   0.0585758   
3    0.1550614   0.0510419   
4    0.0257433   0.0444773   
5    0.0190300   0.0290086   
6    0.0048140   0.0265925   
7    0.0032603   0.0223785   
8    0.0012612   0.0136842   
9    0.0006931   0.0004169   
10   0.0000000   0.0002226   
11   0.0000000   0.0000000   
12   0.0000000   0.0000000   
NEnergy= 3.7500515   Entries 13
0    0.0751433   0.0073831   
1    0.2640737   0.0433232   
2    0.1709732   0.0513682   
3    0.1579156   0.0449575   
4    0.0243713   0.0390895   
5    0.0180168   0.0254996   
6    0.0044412   0.0259462   
7    0.0030112   0.0261201   
8    0.0011715   0.0159453   
9    0.0006434   0.0003952   
